id Team AllSh ShOT Goals ShOTAg CleanPerc GoalsAg xGD Interc YC Crs CK Poss Bls 
0 ManCity 683 264 96 106 34,2 34 44,9 233 53 700 286 65,2 353 
1 Arsenal 647 209 91 80 47,4 29 48,2 292 64 670 265 58,2 412 
2 Liverpool 781 263 86 146 26,3 41 42,0 292 69 817 287 61,3 475 
3 AstonVilla 511 182 76 171 21,1 61 3,4 236 94 651 231 53,1 389 
4 Tottenham 582 207 74 160 18,4 61 4,8 355 92 710 234 61,6 445 
5 Chelsea 537 194 77 182 21,1 63 16,4 298 109 558 202 58,6 448 
6 NewcastleUtd 542 196 85 190 26,3 62 14,6 285 79 648 192 52,2 497 
7 ManchesterUtd 543 182 57 196 23,7 58 -12,5 313 83 594 224 50,6 534 
8 WestHam 445 146 60 231 13,2 74 -18,8 361 82 661 165 41,1 487 
9 CrystalPalace 452 162 57 151 26,3 58 -3,4 323 73 583 178 42,3 456 
10 Brighton 555 198 55 159 15,8 62 1,4 288 90 671 206 59,8 437 
11 Bournemouth 539 175 54 187 23,7 67 -2,2 357 79 709 235 44,4 504 
12 Fulham 499 175 55 182 26,3 61 -12,1 371 84 736 212 50,6 437 
13 Wolves 425 153 50 195 13,2 65 -21,0 284 102 578 156 48,9 506 
14 Everton 504 152 40 157 34,2 51 -1,2 358 82 752 181 40,8 479 
15 Brentford 470 159 56 182 18,4 65 2,2 378 89 706 184 45,2 474 
16 Nott'hamForest 450 143 49 159 10,5 67 -3,3 331 82 595 148 40,6 488 
17 LutonTown 427 134 52 219 5,3 85 -35,5 325 71 841 203 42,4 493 
18 Burnley 430 137 41 237 5,3 78 -29,7 280 77 550 180 47,4 477 
19 SheffieldUtd 360 117 35 258 2,6 104 -38,4 348 101 428 141 35,8 514
